port,addr,epoch,utc,GrossQty#2,FlowRate#4,GrossTotal#17,NetTotal#18,PrevGross#100,PrevNet#101,longi,longimm,lati,latimm,reserved
1,0x0040700,1727717323,2024-09-30 17:28:43,10.8,10.8,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040740,1727717324,2024-09-30 17:28:44,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040780,1727717325,2024-09-30 17:28:45,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x00407C0,1727717325,2024-09-30 17:28:45,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040800,1727717326,2024-09-30 17:28:46,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040840,1727717327,2024-09-30 17:28:47,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040880,1727717327,2024-09-30 17:28:47,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x00408C0,1727717328,2024-09-30 17:28:48,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040900,1727717331,2024-09-30 17:28:51,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040940,1727717332,2024-09-30 17:28:52,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040980,1727717332,2024-09-30 17:28:52,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x00409C0,1727717333,2024-09-30 17:28:53,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040A00,1727717336,2024-09-30 17:28:56,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040A40,1727717337,2024-09-30 17:28:57,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040A80,1727717337,2024-09-30 17:28:57,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040AC0,1727717338,2024-09-30 17:28:58,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040B00,1727717341,2024-09-30 17:29:01,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040B40,1727717342,2024-09-30 17:29:02,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040B80,1727717342,2024-09-30 17:29:02,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040BC0,1727717343,2024-09-30 17:29:03,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040C00,1727717345,2024-09-30 17:29:05,10.8,0.0,1999.3,0.0,1988.5,1988.5,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040C40,1727717346,2024-09-30 17:29:06,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040C80,1727717346,2024-09-30 17:29:06,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040CC0,1727717347,2024-09-30 17:29:07,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040D00,1727717348,2024-09-30 17:29:08,10.8,10.8,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x0040D40,1727717349,2024-09-30 17:29:09,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
